pp_id_behav,pp_id_scan,stim_tempo_intended,length,condition,n_trials,G_resp,entropy_diff_norm_q_avg,asynchrony_norm_abs_avg,iti_ioi_cov_diff_avg,isochrony_introduced,binary_or_ternary_introduced,simple_ratios_introduced,tempo_deviation_abs_avg,edit_distance_norm_q_avg
53,20,400,4,400_4,44,0.0047626958828912,-0.07094138222915483,0.023462763231316422,-0.006973241358277658,0.6136363636363633,-0.768465909090909,-0.1548295454545456,0.054368899753140784,0.8181818181818182
28,21,400,4,400_4,44,0.024429088771628,-0.1129503022630909,0.027699467137148624,-0.001309926523755173,0.0,2.1022727272727275,2.1022727272727275,0.06397151600661631,0.8409090909090909
22,22,400,4,400_4,40,0.0322424658071427,0.0,0.059137091197646964,0.07946303931016384,-0.9000000000000004,0.3499999999999996,-0.5500000000000007,0.1301740334919654,1.675
51,23,400,4,400_4,45,0.077368710730899,-0.041075388477626394,0.037583672732469,-0.021040025338372948,0.7999999999999998,-0.0263888888888883,0.7736111111111115,0.09976310694170659,0.9111111111111111
43,24,400,4,400_4,40,0.0658562754230127,0.03182570841474064,0.06492452604454713,0.08122669934359134,-4.049999999999998,1.3703124999999998,-2.6796874999999982,0.17176280052527063,1.725
44,25,400,4,400_4,45,0.0008911545851267,-0.15539159619979337,0.03376080064080057,-0.023626011749093116,0.9999999999999992,1.7875,2.787499999999999,0.07500771350180425,0.8888888888888888
35,26,400,4,400_4,45,0.0420133168967271,-0.051344235597032974,0.03170235790633991,0.01905729682119641,-0.2000000000000001,-2.055555555555556,-2.255555555555556,0.13511766369826694,0.8888888888888888
29,27,400,4,400_4,43,0.0397086503728449,-0.08070355613781034,0.04836375069082761,-0.026113935092254983,2.5116279069767424,-0.2078488372093021,2.3037790697674403,0.11774050676720206,1.255813953488372
23,28,400,4,400_4,46,0.0090549227030154,-0.13192229539661104,0.031962462128895225,-0.019856336491961925,0.5869565217391299,0.7092391304347823,1.2961956521739122,0.07271847632288736,1.0434782608695652
20,29,400,4,400_4,44,0.0047626958828912,-0.15238499446679368,0.020044114365386802,-0.007639571572645264,2.249999999999999,2.217329545454546,4.467329545454545,0.05182412257801877,0.4090909090909091
59,30,400,4,400_4,47,0.0323761773402119,-0.16844293765398505,0.033424355248432965,-0.028450473233208862,2.1063829787234027,0.6529255319148932,2.759308510638296,0.13107236802101568,0.9361702127659575
26,31,400,4,400_4,40,0.014900513391815,-0.16762349391347306,0.028097861605892633,-0.021874173092495657,1.5749999999999993,0.9421874999999996,2.517187499999999,0.08775675754416003,0.625
31,32,400,4,400_4,47,0.008030302418212,-0.12169347856172504,0.03393511411097348,0.0190568665343026,1.3404255319148923,3.2167553191489366,4.557180851063829,0.10020138927805348,1.148936170212766
25,33,400,4,400_4,44,0.0228560870971379,-0.18389168449224572,0.03099155433607085,-0.018345312531496644,1.2272727272727275,2.004261363636364,3.231534090909092,0.05343042009158641,0.8863636363636364
32,34,400,4,400_4,47,0.024621635150746,-0.04303847934924901,0.030428820230659032,0.06403482300242723,-0.3829787234042552,2.091755319148936,1.7087765957446803,0.15395391570602815,0.8085106382978723
63,35,400,4,400_4,24,0.0150849674044213,-0.26738573683696426,0.06442218141270585,0.04567256709386644,3.749999999999999,3.450520833333333,7.200520833333332,0.13738010733478706,1.7083333333333333
48,36,400,4,400_4,48,0.0128613485985017,-0.1035377770745,0.027454254177065547,0.02310880877590227,-0.5625,1.7565104166666663,1.1940104166666663,0.09294674474380121,0.7083333333333334
52,37,400,4,400_4,25,0.0328743503758242,-0.04394449154672438,0.05272567163781474,0.01922036723019617,2.52,1.15,3.67,0.10852238303385008,1.52
58,38,400,4,400_4,45,0.0495007018732384,-0.05522014777306666,0.037375080209918574,0.06810912966221472,0.9999999999999992,2.902777777777778,3.902777777777777,0.19828002274649117,1.0222222222222221
66,39,400,4,400_4,38,0.0103239520467944,0.028910849701792356,0.04473343172729939,0.018754849765012776,-1.894736842105262,0.8075657894736843,-1.0871710526315777,0.08027596842932228,1.3421052631578947
60,40,400,4,400_4,22,0.0529627523410368,-0.10502230008484019,0.0889106134515413,0.037782760109734054,0.4090909090909091,0.3181818181818181,0.7272727272727273,0.20183078444936886,2.1363636363636362
45,41,400,4,400_4,41,0.0069581247709483,-0.13524823035316003,0.026335431696689515,0.013104405864605638,1.3170731707317067,0.6067073170731705,1.9237804878048768,0.0606114550363816,0.7560975609756098
57,42,400,4,400_4,38,0.0165185689070481,0.045661222551655854,0.03172533603429368,0.02040393391431364,-0.947368421052631,1.5131578947368418,0.5657894736842108,0.14141887715940687,0.868421052631579
47,43,400,4,400_4,42,0.013365579824086,-0.08801868959491368,0.03229124107617427,0.0017765862839880706,1.4999999999999991,3.599702380952381,5.09970238095238,0.08786404117055556,0.6666666666666666
